dataset,seeds,selected_rows,PICP_min,PICP_median,C_risk_min_y_le_0_25,C_risk_median_y_le_0_25,critical_coverage_min_y_le_0_10_diagnostic,critical_coverage_median_y_le_0_10_diagnostic,critical_n_min,critical_n_median,F_safe_max_y_le_0_25_L_gt_0_50,M_int_max_y_le_0_25_L_gt_0_25,U_warn_max,M_point_max_diagnostic,M_point_median_diagnostic,mean_width_median,RMSE_median,MAE_median,R2_median,dataset_gate_pass
IMS,30,30,0.9053356282271944,0.9562392426850259,0.9005163511187607,0.9478485370051635,0.8513745704467354,0.9432989690721649,1164,1164.0,0.0,0.0,0.042512908777969,0.0898450946643717,0.0120481927710843,0.0343986763468294,0.01674001735636415,0.0087304985650001,0.9965344177269855,True
NASA Battery,30,30,0.904358353510896,0.9478912130895161,0.9029126213592232,0.9603921568627451,0.5555555555555556,0.962912087912088,7,52.5,0.0,0.0,0.0353728489483747,0.5079365079365079,0.0,0.11635028924091426,0.02874368440153005,0.0181884877040455,0.9648905033193548,True
NASA C-MAPSS,30,30,0.9018834866403854,0.9449576931845074,0.9426470588235294,0.9893382352941177,0.9727272727272728,1.0,550,550.0,0.0,0.0,0.0364514712340799,0.3301470588235294,0.2012697817486196,0.23307516620407387,0.061972471503966606,0.0498802642204343,0.7514336733519963,True
PRONOSTIA/FEMTO,30,30,0.9018251222712632,0.937134677323154,0.902334444973797,0.9568842305859933,0.8977407847800237,0.9423305588585018,841,841.0,0.0,0.0,0.0354288440892282,0.0057170080990948,0.0028585040495474,0.00422554408054185,0.00125271778095255,0.0010511060582605,0.9999811952624842,True
XJTU-SY,30,30,0.9002821180555556,0.9731987847222222,0.9,0.9196969696969697,0.8549946294307197,0.9189044038668097,931,931.0,0.0,0.0,0.0486111111111111,0.0047619047619047,0.0017316017316017,0.0024175290903762,0.0005609459088570499,0.00042531804457845003,0.9999962359206231,True
