dataset,seed,_candidate_id,_coverage,_risk_coverage,_critical_coverage,_false_safe,_underwarning,_mean_width,_cwc,_winkler,_pinaw,_rmse,_mae,_r2,_literal_gate_pass,seed_from_folder,_dataset_key,_seed_key,_candidate_key,_stored_coverage,_stored_riskcov,_stored_false_safe,_stored_underwarning,_stored_width,_stored_rmse,_stored_mae,_stored_current_gate,dataset_row,seed_row,row_n,row_rmse,row_mae,row_r2,row_coverage,row_riskcov_y_le_025,row_critcov_y_le_010,row_urgent_n,row_critical_n,row_fsr050_interval_lower_only,row_fsr050_point_only,row_fsr050_point_or_lower,row_miss025_interval_lower_only,row_miss025_point_only,row_miss025_point_or_lower,row_under_all,row_under_urgent_only,row_under_critical_only,row_upper_all,row_width_mean,_row_metric_found,_row_base_coverage_risk,gate_current_literal_row_under,gate_current_literal_stored_under,gate_strict025_interval_stored_under,gate_strict025_interval_row_under,gate_strict025_interval_no_under,gate_gemini_combined025_row_under,gate_gemini_combined025_stored_under,_rank_width,_rank_rmse,_rank_mae,_selected_gate,_n_eligible_for_gate,_pass_primary_gate_recheck
IMS,14981229,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,1.0,0.0,0.0,0.0982471809249554,,,,0.019701313492681,0.0158251321647807,0.995345505116646,1,14981229,IMS,14981229,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,0.0,0.0,0.0982471809249554,0.019701313492681,0.0158251321647807,True,IMS,14981229,11620,0.019701313492681,0.0158251321647807,0.995345505116646,1.0,1.0,1.0,2905,1164,0.0,0.0,0.0,0.0,0.0781411359724612,0.0781411359724612,0.0,0.0,0.0,0.0,0.0982471809249554,True,True,True,True,True,True,True,False,False,0.0982471809249554,0.019701313492681,0.0158251321647807,gate_strict-interval_interval_row_under,15,True
IMS,21187033,HGB_HI_FEATURES_NO_ORDER__global_95,0.9505163511187608,0.9401032702237522,0.9304123711340206,0.0,0.0,0.0841557104225551,,,,0.0427846802683421,0.0112152243946477,0.9780487742794552,1,21187033,IMS,21187033,HGB_HI_FEATURES_NO_ORDER__global_95,0.9505163511187608,0.9401032702237522,0.0,0.0,0.0841557104225551,0.0427846802683421,0.0112152243946477,True,IMS,21187033,11620,0.0427846802683421,0.0112152243946477,0.9780487742794552,0.9505163511187608,0.9401032702237522,0.9304123711340206,2905,1164,0.0,0.0003442340791738,0.0003442340791738,0.0,0.0003442340791738,0.0003442340791738,0.0272805507745266,0.0430292598967297,0.0378006872852233,0.0222030981067125,0.0841557104225551,True,True,True,True,True,True,True,False,False,0.0841557104225551,0.0427846802683421,0.0112152243946477,gate_strict-interval_interval_row_under,32,True
IMS,91738819,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,1.0,0.0,0.0,0.0984245116997338,,,,0.0199555556714634,0.0160263400880389,0.9952245990145818,1,91738819,IMS,91738819,TRAJECTORY_SIMILARITY__fixed_width_0.100,1.0,1.0,0.0,0.0,0.0984245116997338,0.0199555556714634,0.0160263400880389,True,IMS,91738819,11620,0.0199555556714634,0.0160263400880389,0.9952245990145818,1.0,1.0,1.0,2905,1164,0.0,0.0,0.0,0.0,0.0833046471600688,0.0833046471600688,0.0,0.0,0.0,0.0,0.0984245116997338,True,True,True,True,True,True,True,False,False,0.0984245116997338,0.0199555556714634,0.0160263400880389,gate_strict-interval_interval_row_under,13,True
IMS,104007873,HGB_HI_FEATURES_NO_ORDER__global_90,0.9218588640275388,0.9366609294320136,0.9029209621993128,0.0,0.0,0.0776613251557842,,,,0.0472576103978756,0.0120864622869924,0.9732190666297528,1,104007873,IMS,104007873,HGB_HI_FEATURES_NO_ORDER__global_90,0.9218588640275388,0.9366609294320136,0.0,0.0,0.0776613251557842,0.0472576103978756,0.0120864622869924,True,IMS,104007873,11620,0.0472576103978756,0.0120864622869924,0.9732190666297528,0.9218588640275388,0.9366609294320136,0.9029209621993128,2905,1164,0.0,0.0003442340791738,0.0003442340791738,0.0,0.0037865748709122,0.0037865748709122,0.0290877796901893,0.0392426850258175,0.0695876288659793,0.0490533562822719,0.0776613251557842,True,True,True,True,True,True,True,False,False,0.0776613251557842,0.0472576103978756,0.0120864622869924,gate_strict-interval_interval_row_under,34,True
IMS,123623561,HGB_HI_FEATURES_NO_ORDER__global_95,0.933734939759036,0.9032702237521516,0.8513745704467354,0.0,0.0085197934595524,0.0311008065085315,,,,0.0356793952852772,0.0094303586892028,0.9847342845109318,1,123623561,IMS,123623561,HGB_HI_FEATURES_NO_ORDER__global_95,0.933734939759036,0.9032702237521516,0.0,0.0085197934595524,0.0311008065085315,0.0356793952852772,0.0094303586892028,True,IMS,123623561,11620,0.0356793952852772,0.0094303586892028,0.9847342845109318,0.933734939759036,0.9032702237521516,0.8513745704467354,2905,1164,0.0,0.0,0.0,0.0,0.0898450946643717,0.0898450946643717,0.0305507745266781,0.0912220309810671,0.1477663230240549,0.0357142857142857,0.0311008065085315,True,True,True,True,True,True,True,False,False,0.0311008065085315,0.0356793952852772,0.0094303586892028,gate_strict-interval_interval_row_under,20,True
IMS,124060498,HGB_HI_FEATURES_NO_ORDER__global_99,0.9819277108433736,0.9528399311531842,0.9063573883161512,0.0,0.0010327022375215,0.0307863315406893,,,,0.0294722085509822,0.0081256967961947,0.9895838420418044,1,124060498,IMS,124060498,HGB_HI_FEATURES_NO_ORDER__global_99,0.9819277108433736,0.9528399311531842,0.0,0.0010327022375215,0.0307863315406893,0.0294722085509822,0.0081256967961947,True,IMS,124060498,11620,0.0294722085509822,0.0081256967961947,0.9895838420418044,0.9819277108433736,0.9528399311531842,0.9063573883161512,2905,1164,0.0,0.0,0.0,0.0,0.0678141135972461,0.0678141135972461,0.0131669535283993,0.0461273666092943,0.0936426116838488,0.0049053356282271,0.0307863315406893,True,True,True,True,True,True,True,False,False,0.0307863315406893,0.0294722085509822,0.0081256967961947,gate_strict-interval_interval_row_under,27,True
IMS,166900910,TRAJECTORY_SIMILARITY__global_97,0.983132530120482,0.991394148020654,0.9914089347079038,0.0,0.0,0.0347120555162269,,,,0.0101235594022861,0.0087304985650001,0.9987710091063962,1,166900910,IMS,166900910,TRAJECTORY_SIMILARITY__global_97,0.983132530120482,0.991394148020654,0.0,0.0,0.0347120555162269,0.0101235594022861,0.0087304985650001,True,IMS,166900910,11620,0.0101235594022861,0.0087304985650001,0.9987710091063962,0.983132530120482,0.991394148020654,0.9914089347079038,2905,1164,0.0,0.0,0.0,0.0,0.0120481927710843,0.0120481927710843,0.016867469879518,0.0086058519793459,0.0085910652920962,0.0,0.0347120555162269,True,True,True,True,True,True,True,False,False,0.0347120555162269,0.0101235594022861,0.0087304985650001,gate_strict-interval_interval_row_under,18,True
IMS,174127091,HGB_HI_FEATURES_NO_ORDER__global_97,0.9564543889845096,0.9115318416523236,0.8754295532646048,0.0,0.0085197934595524,0.0308657396769843,,,,0.0373975528213544,0.0098144629163164,0.9832286291426005,1,174127091,IMS,174127091,HGB_HI_FEATURES_NO_ORDER__global_97,0.9564543889845096,0.9115318416523236,0.0,0.0085197934595524,0.0308657396769843,0.0373975528213544,0.0098144629163164,True,IMS,174127091,11620,0.0373975528213544,0.0098144629163164,0.9832286291426005,0.9564543889845096,0.9115318416523236,0.8754295532646048,2905,1164,0.0,0.0,0.0,0.0,0.0864027538726334,0.0864027538726334,0.0253872633390705,0.0857142857142857,0.1245704467353951,0.0181583476764199,0.0308657396769843,True,True,True,True,True,True,True,False,False,0.0308657396769843,0.0373975528213544,0.0098144629163164,gate_strict-interval_interval_row_under,17,True
IMS,176975306,HGB_HI_FEATURES_NO_ORDER__global_90,0.909552495697074,0.9125645438898452,0.8917525773195877,0.0,0.0,0.0038421253703008,,,,0.0012056085429325,0.0010238906790774,0.9999825701027344,1,176975306,IMS,176975306,HGB_HI_FEATURES_NO_ORDER__global_90,0.909552495697074,0.9125645438898452,0.0,0.0,0.0038421253703008,0.0012056085429325,0.0010238906790774,True,IMS,176975306,11620,0.0012056085429325,0.0010238906790774,0.9999825701027344,0.909552495697074,0.9125645438898452,0.8917525773195877,2905,1164,0.0,0.0,0.0,0.0,0.0,0.0,0.042512908777969,0.0540447504302925,0.0730240549828178,0.0479345955249569,0.0038421253703008,True,True,True,True,True,True,True,True,True,0.0038421253703008,0.0012056085429325,0.0010238906790774,gate_strict-interval_interval_row_under,43,True
IMS,217219298,HGB_HI_FEATURES_NO_ORDER__global_95,0.9416523235800344,0.935972461273666,0.9037800687285223,0.0,0.0,0.0042177495917449,,,,0.0012349266625338,0.0010433266880102,0.999981712070936,1,217219298,IMS,217219298,HGB_HI_FEATURES_NO_ORDER__global_95,0.9416523235800344,0.935972461273666,0.0,0.0,0.0042177495917449,0.0012349266625338,0.0010433266880102,True,IMS,217219298,11620,0.0012349266625338,0.0010433266880102,0.999981712070936,0.9416523235800344,0.935972461273666,0.9037800687285223,2905,1164,0.0,0.0,0.0,0.0,0.0068846815834767,0.0068846815834767,0.0220309810671256,0.0495697074010327,0.0644329896907216,0.0363166953528399,0.0042177495917449,True,True,True,True,True,True,True,False,False,0.0042177495917449,0.0012349266625338,0.0010433266880102,gate_strict-interval_interval_row_under,30,True
