Dataset,seeds,selected_rows,Coverage min,Coverage median,Risk-zone coverage min (y<=0.25),Risk-zone coverage median (y<=0.25),"Interval false-safe max (y<=0.25, L>0.50)","Interval intervention miss max (y<=0.25, L>0.25)",Underwarning max,Mean width median,RMSE median,MAE median,R2 median,"Critical-zone coverage min (y<=0.10, diagnostic)","Critical-zone coverage median (y<=0.10, diagnostic)",Critical n min,Critical n median,Point intervention miss max (diagnostic),Point intervention miss median (diagnostic),dataset_gate_pass
IMS,30,30,0.9053356282271944,0.9562392426850259,0.9005163511187607,0.9478485370051635,0.0,0.0,0.042512908777969,0.0343986763468294,0.01674001735636415,0.0087304985650001,0.9965344177269855,0.8513745704467354,0.9432989690721649,1164,1164.0,0.0898450946643717,0.0120481927710843,True
NASA Battery,30,30,0.904358353510896,0.9478912130895161,0.9029126213592232,0.9603921568627451,0.0,0.0,0.0353728489483747,0.11635028924091426,0.02874368440153005,0.0181884877040455,0.9648905033193548,0.5555555555555556,0.962912087912088,7,52.5,0.5079365079365079,0.0,True
NASA C-MAPSS,30,30,0.9018834866403854,0.9449576931845074,0.9426470588235294,0.9893382352941177,0.0,0.0,0.0364514712340799,0.23307516620407387,0.061972471503966606,0.0498802642204343,0.7514336733519963,0.9727272727272728,1.0,550,550.0,0.3301470588235294,0.2012697817486196,True
PRONOSTIA/FEMTO,30,30,0.9018251222712632,0.937134677323154,0.902334444973797,0.9568842305859933,0.0,0.0,0.0354288440892282,0.00422554408054185,0.00125271778095255,0.0010511060582605,0.9999811952624842,0.8977407847800237,0.9423305588585018,841,841.0,0.0057170080990948,0.0028585040495474,True
XJTU-SY,30,30,0.9002821180555556,0.9731987847222222,0.9,0.9196969696969697,0.0,0.0,0.0486111111111111,0.0024175290903762,0.0005609459088570499,0.00042531804457845003,0.9999962359206231,0.8549946294307197,0.9189044038668097,931,931.0,0.0047619047619047,0.0017316017316017,True
